org,first,last,title,area,email,contact_form
MPS,Board of Education,,,,schoolboard@mpls.k12.mn.us,
MPS,Lori,Norvell,Director,District 5,lori.norvell@mpls.k12.mn.edu,
MPS,Rochelle,Cox,Interim Superintendent,,rochelle.cox@mpls.k12.mn.edu,
MPS,Ryan,Strack,Assistant to the Superintendent,,ryan.strack@mpls.k12.mn.edu,
MPRB,Becky,Alper,Commissioner,District 3,balper@minneaplisparks.org,
City Council,Andrew,Johnson,Councilmember,Ward 12,andrew.johnson@minneapolismn.gov,
State Legislature,Samantha,Sencer-Mura,State Representative,District 63A,rep.samantha.sencer-mura@house.mn.gov,
State Legislature,Zaynab,Mohamed,State Senator,District 63,,https://www.senate.mn/members/email-form/1273
Longfellow Community Council,,,,,info@longfellow.org,
MPRB,Cathy,Abene,"Commissioner, Vice President",District 6,cabene@minneapolisparks.org,
MPRB,Meg,Forney,"Commissioner At Large, President",,mforney@minneapolisparks.org,
MPRB,Billy,Menz,Commissioner,District 1,bmenz@minneapolisparks.org,
MPRB,Steffanie,Musich,Commissioner,District 5,smusich@minneapolisparks.org,
MPRB,Tom,Olsen,Commisioner At Large,,tolsen@minneapolisparks.org,
MPRB,Elizabeth,Shaffer,Commisioner,District 4,eshaffer@minneapolisparks.org,
MPRB,Becka,Thompson,Commissioner,District 2,bthompson@minneapolisparks.org,
